PAYEE_COUNTRY,PAYEE_NAME_EDITED_TOKENS_CORPUS,PAYEE_NAME_MATCHING_TUPLE,PAYEE_NAME_MATCHING,PAYEE_NAME_MATCHING_SCORE,PRIMARY_SSIC_DESCRIPTION,PRIMARY_USER_DESCRIBED_ACTIVITY,SECONDARY_SSIC_DESCRIPTION,SECONDARY_USER_DESCRIBED_ACTIVITY
SG,seletar country club,"('marina country club', 76.92307692307692, 446584)",marina country club,76.92307692307692,OTHER HOLDING COMPANIES,PROVIDING INVESTMENT SERVICES,RECREATION CLUBS (INCLUDING COUNTRY CLUBS),MANAGING A MARINA
SG,maybank singapore limited,"('maybank singapore limited', 100.0, 456022)",maybank singapore limited,100.0,FULL BANKS,na,na,na
SG,singapore mobility corporation,"('singapore mobility corporation', 100.0, 161458)",singapore mobility corporation,100.0,STREET-HAIL AND RIDE-HAIL SERVICE PROVIDERS,PRIVATE CARS FOR HIRE WITH OR WITHOUT OPERATORS AND CHARTERED BUS SERVICES,RETAIL SALE OF MOTOR VEHICLES EXCEPT MOTORCYCLES AND SCOOTERS,RETAIL SALE OF USED VEHICLES INCLUDING CAR WASHING AND GROOMING
AU,harry r song associates,"('k h ong associates', 82.92682926829268, 126804)",k h ong associates,82.92682926829268,ACCOUNTING AND AUDITING SERVICES (EXCLUDING ONLINE MARKETPLACES),ACCOUNTING AND AUDITING SERVICES (INCLUDING TAXATION ADVISORY SERVICES),na,na
SG,lk aircon engineering,"('lk aircon engineering', 100.0, 426137)",lk aircon engineering,100.0,"INSTALLATION OF PLUMBING, HEATING (NON-ELECTRIC) AND AIR-CONDITIONING SYSTEMS",na,"MANUFACTURE AND REPAIR OF REFRIGERATING, AIR-CONDITIONING AND VENTILATING MACHINERY AND EQUIPMENT EXCEPT HOUSEHOLD REFRIGERATORS",na
SG,propnex realty,"('propnex realty', 100.0, 129089)",propnex realty,100.0,REAL ESTATE AGENCIES AND VALUATION SERVICES,na,REAL ESTATE ACTIVITIES ON A FEE OR COMMISSION BASIS N.E.C. (EXCLUDING ONLINE MARKETPLACES),na
SG,autelier group,"('autelier group', 100.0, 341891)",autelier group,100.0,BEAUTY AND OTHER PERSONAL CARE SERVICES N.E.C. (EXCLUDING ONLINE MARKETPLACES),MAKEUP HAIRSTYLING SERVICES,na,na
SG,senses productions,"('senses productions', 100.0, 220970)",senses productions,100.0,"TELEVISION PROGRAMMING AND BROADCASTING (INCLUDING CABLE, SATELLITE, TERRESTRIAL TELEVISION, INTERNET AND MOBILE)",na,EVENT/CONCERT ORGANISERS,na
SG,united parcel service pts,"('united parcel service co', 85.71428571428572, 227095)",united parcel service co,85.71428571428572,AIRLINE AGENCIES (FREIGHT),na,na,na
SG,wingsoverasia,"('wingsoverasia', 100.0, 15888)",wingsoverasia,100.0,SUPPORTING SERVICES TO AIR TRANSPORT N.E.C.,"SUPPORTING SERVICES TO AIR TRANSPORT, GROUND SERVICES ACTIVITIES ON AIRFIELD",CAFES,na
SG,uni-tat ice marketing,"('uni-tat ice marketing', 100.0, 549330)",uni-tat ice marketing,100.0,MANUFACTURE OF ICE EXCEPT DRY ICE,"TRADER OF ICE, AND OTHER RELATED PRODUCTS",WHOLESALE OF CHEMICALS AND CHEMICAL PRODUCTS N.E.C.,MANUFACTURE OF ICE FOR NON HUMAN CONSUMPTION
PH,nord anglia international school manila inc,"('canadian international school', 72.22222222222221, 383110)",canadian international school,72.22222222222221,INTERNATIONAL AND FOREIGN SYSTEM SCHOOLS,na,TRAINING COURSES N.E.C.,na
AE,kc manufacturing,"('kay manufacturing', 90.9090909090909, 108307)",kay manufacturing,90.9090909090909,"MANUFACTURE OF DIES, MOULDS, TOOLS, JIGS AND FIXTURES","MANUFACTURER OF DIES, MOULDS, TOOLS, JIGS  & FIXTURES","BUILDING AND REPAIRING OF SHIPS, TANKERS AND OTHER OCEAN-GOING VESSELS (INCLUDING CONVERSION OF SHIPS INTO OFF-SHORE STRUCTURES)",NON-DESTRUCTIVE TESTING SERVICES ON ALUMINIUM AND STEEL SURFACE/WELDED
SG,singapore furniture rental,"('singapore furniture rental', 100.0, 299913)",singapore furniture rental,100.0,"RENTING AND LEASING OF FURNITURE, UTENSILS AND ELECTRONIC EQUIPMENT FOR HOUSEHOLD USE",FURNITURE RENTAL,na,na
SG,qt curtains furnishing,"('qt curtains furnishing', 100.0, 47440)",qt curtains furnishing,100.0,"RETAIL SALE OF FURNISHINGS (EG CURTAINS, CARPETS, PILLOW CASES)",na,WHOLESALE TRADE OF A VARIETY OF GOODS WITHOUT A DOMINANT PRODUCT,na
SG,read architecture,"('read architecture', 100.0, 67187)",read architecture,100.0,ARCHITECTURAL SERVICES,"CONSULTANCY SERVICES FOR ARCHITECTURE, CONSERVATION AND DESIGN",na,"CONSULTANCY SERVICES FOR ARCHITECTURE, CONSERVATION AND DESIGN"
SG,therapy inc,"('therapy inc', 100.0, 547688)",therapy inc,100.0,OTHER HEALTH SERVICES N.E.C. (EXCLUDING ONLINE MARKETPLACES),ALLIED HEALTH THERAPY CENTRE FOR CHILDREN AND ADULTS,na,na
SG,malaysia dairy industries,"('malaysia dairy industries private limited', 75.75757575757575, 444294)",malaysia dairy industries private limited,75.75757575757575,"MANUFACTURE OF DAIRY PRODUCTS N.E.C. (EG BUTTER, CHEESE, ICE-CREAM MIXES AND POWDER, YOGHURT)",na,"WHOLESALE OF A GENERAL LINE (WIDE RANGE) OF GROCERIES (E.G. CEREALS, SUGAR, EDIBLE OILS, SAUCES AND DAIRY PRODUCTS)",na
SG,elite coach,"('elite coach', 100.0, 172179)",elite coach,100.0,FITNESS CENTRES AND GYMNASIUMS,"PROFESSIONAL CONSULTING ON BODY BUILDING,FITNESS,SWIMMING & LIFESTYLE COACHING",na,na
SG,renhurn bus service,"('renhurn bus service', 100.0, 64923)",renhurn bus service,100.0,CHARTERED BUS SERVICES (INCLUDING SCHOOL BUSES),na,CHARTERED BUS SERVICES (INCLUDING SCHOOL BUSES),na
HK,okay property agency limited,"('liman property agency', 81.63265306122449, 438434)",liman property agency,81.63265306122449,REAL ESTATE AGENCIES AND VALUATION SERVICES,na,na,na
SG,phoon huat,"('phoon huat', 100.0, 135685)",phoon huat,100.0,WHOLESALE OF CONFECTIONERY AND BAKERY PRODUCTS,MANUFACTURE & WHOLESALE OF FOOD (INC MEAT & SEAFOOD) BEVERAGE & RELATED ITEMS,RETAIL SALE OF CONFECTIONERY AND BAKERY PRODUCTS (NOT MANUFACTURED ON SITE),RETAIL OF FOOD (INC MEAT & SEAFOOD) BEVERAGE & RELATED ITEMS
SG,refash,"('refash', 100.0, 55307)",refash,100.0,"RETAIL SALE OF CLOTHING, FOOTWEAR AND LEATHER ARTICLES N.E.C.",na,RETAIL SALE OF CLOTHING FOR ADULTS,na
FR,wildfire djs,"('wildfire evans', 76.92307692307692, 17563)",wildfire evans,76.92307692307692,"FOOD COURTS, COFFEE SHOPS AND CANTEENS (WITH MAINLY FOOD AND BEVERAGE INCOME)",na,na,na
SG,bis motoring,"('bms motoring', 91.66666666666666, 215910)",bms motoring,91.66666666666666,RETAIL SALE OF MOTOR VEHICLES EXCEPT MOTORCYCLES AND SCOOTERS,CAR DEALER,na,CAR DEALER
SG,smittenpixels co,"('smittenpixels co', 100.0, 307733)",smittenpixels co,100.0,PHOTOGRAPHIC ACTIVITIES,na,na,na
SG,citrine property,"('citrine property', 100.0, 394946)",citrine property,100.0,REAL ESTATE DEVELOPERS,na,OTHER HOLDING COMPANIES,na
SG,archlight,"('archlight', 100.0, 373413)",archlight,100.0,RETAIL SALE OF LIGHTING AND LIGHTING ACCESSORIES,na,na,na
SG,whiztech pc solutions,"('whiztech pc solutions', 100.0, 25879)",whiztech pc solutions,100.0,"REPAIR AND MAINTENANCE OF COMPUTER HARDWARE, DATA PROCESSING EQUIPMENT AND COMPUTER PERIPHERALS",na,INFORMATION TECHNOLOGY CONSULTANCY (EXCEPT CYBERSECURITY),na
SG,ifast financial,"('ifast financial', 100.0, 553583)",ifast financial,100.0,"OTHER FINANCIAL SERVICE ACTIVITIES, EXCEPT INSURANCE AND PENSION FUNDING ACTIVITIES N.E.C.",MARKETING OF UNIT TRUSTS AND SECURITIES THROUGH WEBSITE,CORPORATE FINANCE ADVISORY SERVICES,na
SG,navigator trust account,"('faithtrust accounting', 72.72727272727273, 30414)",faithtrust accounting,72.72727272727273,STENOGRAPHIC AND SECRETARIAL SERVICES,SECRETARIAL AND BUSINESS SUPPORT,ACCOUNTING AND AUDITING SERVICES (EXCLUDING ONLINE MARKETPLACES),na
SG,aaris,"('aaris', 100.0, 348281)",aaris,100.0,GENERAL CONTRACTORS (BUILDING CONSTRUCTION INCLUDING MAJOR UPGRADING WORKS),na,PROCESS AND INDUSTRIAL PLANT ENGINEERING DESIGN AND CONSULTANCY SERVICES,na
SG,comfyhomes,"('comfyhomes', 100.0, 385888)",comfyhomes,100.0,DOMESTIC/HOUSEHOLD CLEANING SERVICES (EXCLUDING ONLINE MARKETPLACES),na,BUILDING CONSTRUCTION N.E.C.,na
SG,azey interior contractor private limited,"('azey interior contractor private limited', 100.0, 349065)",azey interior contractor private limited,100.0,INTERIOR DESIGN SERVICES,na,RENOVATION CONTRACTORS,na
SG,tesla motors singapore,"('vite motors singapore', 88.37209302325581, 13489)",vite motors singapore,88.37209302325581,RETAIL SALE OF MOTOR VEHICLES EXCEPT MOTORCYCLES AND SCOOTERS,MOTOR CAR TRADE,RENTING AND LEASING OF PRIVATE CARS WITHOUT DRIVER (EXCLUDING ONLINE MARKETPLACES),na
SG,gymkraft,"('gymkraft', 100.0, 575044)",gymkraft,100.0,TRAINING COURSES FOR SPORTS AND GAMES,na,"RETAIL SALE OF SPORTS APPAREL AND EQUIPMENT (INCLUDING BICYCLES, BOATS AND HEALTHCARE EQUIPMENT)",na
SG,house hill,"('house hill', 100.0, 518150)",house hill,100.0,NURSERIES AND KINDERGARTENS,PROVIDE KINDERGARTENS NURSERY SERVICES,CHILD CARE SERVICES FOR PRE-SCHOOL CHILDREN (INCLUDING INFANT CARE SERVICES),PROVIDE CHILD CARE SERVICES FOR PRE-SCHOOL CHILDREN
SG,kenso leasing,"('kenso leasing', 100.0, 108295)",kenso leasing,100.0,FINANCIAL LEASING COMPANIES,"HIRE PURCHASE FINANCING, LEASING AND LOAN FINANCING",RENTING AND LEASING OF PRIVATE CARS WITHOUT DRIVER (EXCLUDING ONLINE MARKETPLACES),CAR RENTAL
SG,bliss airconditioning services,"('bliss airconditioning services', 100.0, 212783)",bliss airconditioning services,100.0,"MANUFACTURE AND REPAIR OF REFRIGERATING, AIR-CONDITIONING AND VENTILATING MACHINERY AND EQUIPMENT EXCEPT HOUSEHOLD REFRIGERATORS",na,PAINTING AND DECORATING,na
SG,gsh marketing,"('gsh marketing', 100.0, 570931)",gsh marketing,100.0,WHOLESALE TRADE OF A VARIETY OF GOODS WITHOUT A DOMINANT PRODUCT,na,WHOLESALE ON A FEE OR COMMISSION BASIS (EXCLUDING ONLINE MARKETPLACES),na
SG,ionaise,"('ionaise', 100.0, 568665)",ionaise,100.0,RETAIL SALE OF CLOTHING FOR ADULTS,na,na,na
SG,seletar flying club,"('flying star', 73.33333333333334, 39464)",flying star,73.33333333333334,MANAGEMENT CONSULTANCY SERVICES,BUSINESS CONSULTANT,WHOLESALE TRADE OF A VARIETY OF GOODS WITHOUT A DOMINANT PRODUCT,IMPORT & EXPORT
SG,crowd,"('crowd', 100.0, 389142)",crowd,100.0,MANAGEMENT CONSULTANCY SERVICES,BRANDING AND PR,na,na
SG,lending bee,"('lending bee', 100.0, 428422)",lending bee,100.0,MONEY-LENDING,na,OTHER CREDIT AGENCIES N.E.C. (EG MOTOR FINANCE),na
MY,asiaworks malaysia,"('asia fitness malaysia', 71.7948717948718, 341492)",asia fitness malaysia,71.7948717948718,FITNESS CENTRES AND GYMNASIUMS,OPERATING GYM FRANCHISES,na,na
SG,magic lifestyle,"('magic lifestyle', 100.0, 444990)",magic lifestyle,100.0,CAFES,FOOD AND BEVERAGES & LIFESTYLE PRODUCTS,"RETAIL SALE OF FURNITURE (INCLUDING MATTRESSES, CUSHIONS)","RETAILERS & DEALERS OF MATTRESSES, BEDDING PRODUCTS, CUSHIONS & FURNITURE"
SG,88 motor trading,"('88 motor trading', 100.0, 269891)",88 motor trading,100.0,RETAIL SALE OF MOTOR VEHICLES EXCEPT MOTORCYCLES AND SCOOTERS,na,RENTING AND LEASING OF PRIVATE CARS WITHOUT DRIVER (EXCLUDING ONLINE MARKETPLACES),na
SG,iki weddings,"('iki weddings', 100.0, 560935)",iki weddings,100.0,PHOTOGRAPHIC ACTIVITIES,na,na,na
SG,cheong cheng renovation carpentry work,"('cheong cheng renovation carpentry work', 100.0, 409003)",cheong cheng renovation carpentry work,100.0,WRECKING AND DEMOLITION WORKS,na,MANUFACTURE OF FURNITURE AND FIXTURES OF WOOD (INCLUDING UPHOLSTERY),na
SG,tampines town council,"('fcl tampines court', 71.7948717948718, 28103)",fcl tampines court,71.7948717948718,REAL ESTATE DEVELOPERS,PROPERTY DEVELOPMENT,OTHER HOLDING COMPANIES,INVESTMENT COMPANY
MY,nam kee canopy rental services,"('chuan kee management services', 77.96610169491525, 382234)",chuan kee management services,77.96610169491525,MANAGEMENT CONSULTANCY SERVICES N.E.C.,na,na,na
SG,brilliant prints,"('brilliant prints', 100.0, 195074)",brilliant prints,100.0,ART AND GRAPHIC DESIGN SERVICES,FINE ART PRINTING,na,na
SG,w-air construction,"('w-air construction', 100.0, 238526)",w-air construction,100.0,"INSTALLATION OF PLUMBING, HEATING (NON-ELECTRIC) AND AIR-CONDITIONING SYSTEMS",na,GENERAL CONTRACTORS (NON-BUILDING CONSTRUCTION),na
SG,huttons asia,"('huttons asia', 100.0, 515879)",huttons asia,100.0,REAL ESTATE AGENCIES AND VALUATION SERVICES,na,na,na
SG,gloria james-civetta,"('gloria james-civetta co', 93.02325581395348, 591279)",gloria james-civetta co,93.02325581395348,LEGAL ACTIVITIES (EXCLUDING ONLINE MARKETPLACES),PROVIDING & SUPPLYING LEGAL SERVICES,na,PROVIDING & SUPPLYING LEGAL SERVICES
SG,car times automobile,"('car times automobile', 100.0, 384712)",car times automobile,100.0,WHOLESALE OF MOTOR VEHICLES EXCEPT MOTORCYCLES AND SCOOTERS,"VEHICLE WORKSHOP:REPAIR & MAINTENANCE,INSPECTION & VALUATION OF MOTOR VEHICLES",RENTAL AND LEASING OF CARS WITH DRIVER (EXCLUDING STREET-HAIL AND RIDE-HAIL SERVICE PROVIDERS),"CAR RENTAL, H.P FINANCING,GENERAL TRADERS & COMMISSION AGENTS"
SG,vp sports,"('vp sports', 100.0, 230663)",vp sports,100.0,ACTIVITIES OF SPORTS CLUBS/ASSOCIATIONS AND RELATED ACTIVITIES,TO PROVIDE SPORTS AND FITNESS CLASSES AND RELATED SERVICES,na,na
SG,kal transport,"('kal transport', 100.0, 109595)",kal transport,100.0,CHARTERED BUS SERVICES (INCLUDING SCHOOL BUSES),"EXCURSION, SCHOOL BUS SERVICES AND CHARTERED BUS SERVICES (52212)",WHOLESALE ON A FEE OR COMMISSION BASIS (EXCLUDING ONLINE MARKETPLACES),na
AU,sydney realty group pty,"('system group realty', 76.19047619047619, 165097)",system group realty,76.19047619047619,GENERAL CONTRACTORS (BUILDING CONSTRUCTION INCLUDING MAJOR UPGRADING WORKS),PROPERTY DEVELOPMENT AND BUILDING AND CIVIL ENGINEERING CONTRACTOR,OTHER HOLDING COMPANIES,na
SG,flipstone interior design private limited,"('flipstone interior design private limited', 100.0, 37152)",flipstone interior design private limited,100.0,INTERIOR DESIGN SERVICES,na,na,na
SG,berries world learning school jt11,"('berries world learning school jt11', 100.0, 197192)",berries world learning school jt11,100.0,TRAINING COURSES N.E.C.,na,na,na
SG,schley international,"('schley international', 100.0, 160214)",schley international,100.0,FREIGHT TRANSPORT ARRANGEMENT,OTHER TRANSPORTATION SUPPORT ACTIVITIES,OTHER PERSONAL SERVICE ACTIVITIES N.E.C. (EXCLUDING ONLINE MARKETPLACES),LOGISTICS AND ACCOUNTING SERVICES
SG,jin wei wood industries,"('jin wei wood industries', 100.0, 275711)",jin wei wood industries,100.0,RENOVATION CONTRACTORS,DESIGN AND RENOVATION CONTRACTORS,na,na
SG,choy mei yun toni carrie,"('yu cai home tuition', 69.76744186046511, 291737)",yu cai home tuition,69.76744186046511,TRAINING COURSES N.E.C.,na,na,na
SG,zeus creation,"('zeus creation', 100.0, 294633)",zeus creation,100.0,EVENT/CONCERT ORGANISERS,na,WHOLESALE ON A FEE OR COMMISSION BASIS (EXCLUDING ONLINE MARKETPLACES),na
SG,carexus services,"('carexus services', 100.0, 395096)",carexus services,100.0,RETAIL SALE IN OTHER NON-SPECIALISED STORES N.E.C.,na,DOMESTIC/HOUSEHOLD CLEANING SERVICES (EXCLUDING ONLINE MARKETPLACES),DOMESTIC AND HOUSEHOLD CLEANING SERVICES
SG,colin dbs,"('j colin', 75.0, 277577)",j colin,75.0,"LETTING OF SELF-OWNED OR LEASED REAL ESTATE PROPERTY EXCEPT FOOD COURTS, COFFEE SHOPS AND CANTEENS (E.G. OFFICE/EXHIBITION SPACE, SHOPPING MALL, SELF-STORAGE FACILITIES)",PROPERTY INVESTMENT & MANAGEMENT,STALLS SELLING COOKED FOOD AND PREPARED DRINKS (INCLUDING STALLS AT FOOD COURTS AND MOBILE FOOD HAWKERS),"SELLING DRINKS, ICE-CREAM, HOT AND COLD BEVERAGES"
SG,mavis tutorial centre,"('mavis tutorial centre', 100.0, 448096)",mavis tutorial centre,100.0,COMMERCIAL SCHOOLS OFFERING HIGHER EDUCATION PROGRAMMES,TUTORIAL AND MUSICAL SCHOOLS,"RETAIL SALE OF BOOKS, NEWSPAPERS AND STATIONERY (INCLUDING NEWSVENDORS)","RETAIL SALE OF TEXT BOOKS, TEXT PAPERS AND STATIONERY"
SG,e rent-a-car,"('index rent-a-car', 85.71428571428572, 567146)",index rent-a-car,85.71428571428572,RENTING AND LEASING OF PRIVATE CARS WITHOUT DRIVER (EXCLUDING ONLINE MARKETPLACES),na,RENTING AND LEASING OF LAND TRANSPORT EQUIPMENT (EXCEPT CARS) WITHOUT DRIVER N.E.C. (EXCLUDING ONLINE MARKETPLACES),na
SG,eldric marketing,"('eldric marketing', 100.0, 167800)",eldric marketing,100.0,BUILDING CONSTRUCTION N.E.C.,na,OTHER CONSTRUCTION INSTALLATION N.E.C.,na
SG,craftsmen atelier,"('craftsmen atelier', 100.0, 394451)",craftsmen atelier,100.0,INTERIOR DESIGN SERVICES,na,na,na
SG,tow kay neo,"('tow kay neo', 100.0, 486048)",tow kay neo,100.0,ONLINE MARKETPLACES FOR GOODS (INCLUDING FOOD),na,na,na
SG,rentokil initial singapore,"('nitori retail singapore', 81.63265306122449, 505552)",nitori retail singapore,81.63265306122449,"RETAIL SALE OF ELECTRICAL HOUSEHOLD APPLIANCES, FURNITURE, LIGHTING EQUIPMENT AND OTHER HOUSEHOLD ARTICLES N.E.C.",na,na,na
SG,exxonmobil asia pacific,"('exxonmobil asia pacific', 100.0, 167736)",exxonmobil asia pacific,100.0,PETROLEUM REFINERIES,"CRUDE OIL TRDG, REFINING, MFG, MKTG AND TRDG OF PETROCHEMICAL & PETROLEUM PROD",MANUFACTURE OF REFINED PETROLEUM PRODUCTS N.E.C.,MFG OF PETROLEUM LUBRICATING OIL AND OPERATION OF PETROL SERVICE STATIONS
SG,chew installation mber lighting,"('chew installation mber lighting', 100.0, 413728)",chew installation mber lighting,100.0,WHOLESALE OF HOUSEHOLD ELECTRICAL APPLIANCES AND EQUIPMENT (INCLUDING HOUSEHOLD AIR-CONDITIONERS),"WHOLESALE OF HOUSEHOLD FANS, LIGHTINGS, ETC",GENERAL CONTRACTORS (NON-BUILDING CONSTRUCTION),"WHOLESALE OF HOUSEHOLD FANS, LIGHTINGS, ETC"
SG,kinto singapore,"('kinto singapore', 100.0, 117048)",kinto singapore,100.0,RENTING AND LEASING OF PRIVATE CARS WITHOUT DRIVER (EXCLUDING ONLINE MARKETPLACES),na,RENTAL AND LEASING OF CARS WITH DRIVER (EXCLUDING STREET-HAIL AND RIDE-HAIL SERVICE PROVIDERS),na
SG,neptune court owners association,"('universal cat association singapore', 68.65671641791045, 226933)",universal cat association singapore,68.65671641791045,CONVENTION/CONFERENCE ORGANISERS,"CAT SHOWS, CAT COMPETITIONS, CAT GROOMING COURSES AND COMPETITIONS","DATA ANALYTICS, PROCESSING AND RELATED ACTIVITIES N.E.C.","CAT SHOWS, CAT COMPETITIONS, CAT GROOMING COURSES AND COMPETITIONS"
SG,trs forensics,"('trs forensics', 100.0, 81021)",trs forensics,100.0,OTHER INFORMATION TECHNOLOGY AND COMPUTER SERVICE ACTIVITIES (EG DISASTER RECOVERY SERVICES),TECHNOLOGY RISK CONSULTING,MANAGEMENT CONSULTANCY SERVICES,BUSINESS COMPLIANCE CONSULTING
AU,bg electrical air con pty,"('j aircon electrical', 81.81818181818181, 285015)",j aircon electrical,81.81818181818181,"INSTALLATION OF PLUMBING, HEATING (NON-ELECTRIC) AND AIR-CONDITIONING SYSTEMS",na,RENOVATION CONTRACTORS,na
SG,kuhn stefan markus,"('stefan mark', 75.86206896551724, 2846)",stefan mark,75.86206896551724,ADVERTISING ACTIVITIES,VIDEOGRAPHY AND PHOTOGRAPHY,PHOTOGRAPHIC ACTIVITIES,VIDEOGRAPHY AND PHOTOGRAPHY
