,DWH_CARDUP_PAYMENT_ID,CARDUP_PAYMENT_CUSTOMER_COMPANY_ID,CARDUP_PAYMENT_SUCCESS_AT_UTC_TS,CARDUP_PAYMENT_PAYEE_NAME,CARDUP_PAYMENT_PAYMENT_TYPE,CARDUP_PAYMENT_SCHEDULE_TYPE,CARDUP_PAYMENT_USD_AMT,CARDUP_PAYMENT_NET_REVENUE_USD_AMT,CARDUP_PAYMENT_TOTAL_REVENUE_USD_AMT,PAYEE_NAME_WITH_SPACES,tokens,tokens_corpus
50,3565e3587b57f7ced44a206259409528,,2024-10-07 04:12:36,244881_First Maid Pte Ltd,Misc,recurring,198.69556,0.9328074,3.678143, first maid  ,"['first', 'maid']",first maid
53,8ee27302372089e52e8e54eda9c605c1,,2024-10-03 04:12:59,47912_The American Club ,Misc,recurring,1137.57,3.2762016,18.20112, the american club ,"['american', 'club']",american club
57,f6e10519d48dbd801be7a741696bfa45,,2024-07-25 10:03:35,140159_EXXONMOBIL ASIA PACIFIC PTE LTD,Misc,recurring,98.5894,-0.189595,1.8276958, exxonmobil asia pacific  ,"['exxonmobil', 'asia', 'pacific']",exxonmobil asia pacific
61,c6c6264e5ed392cbdac5382e21fb4b7f,,2024-03-01 04:04:14,125112_KLEANWORKZ PTE. LTD.,Misc,recurring,396.25355,1.9945394,7.3335346, kleanworkz  ,['kleanworkz'],kleanworkz
73,176bf29e643c65b638db73d54e66dac9,,2024-10-01 04:13:27,196568_NTUC MY FIRST SKOOL LIMITED,Misc,recurring,669.194512,3.526467,12.3767616, ntuc my first skool ,"['ntuc', 'first', 'skool']",ntuc first skool
81,48f0b0ef73757c27859f7113cf82fe91,,2023-11-21 04:23:12,52402_The National University of Singapore Society,Misc,recurring,131.048064,-0.227514,2.9500982, the national university of  society,"['national', 'university', 'society']",national university society
84,7f9afed78579df42fd9391bb81571949,,2024-04-16 04:04:02,52606_X-TREME AUTO PTE LTD,Misc,recurring,947.975,11.9672364,24.64735, xtreme auto  ,"['xtreme', 'auto']",xtreme auto
91,023e5b63364a26bb6fe4b8cc5eb10ed9,,2024-07-02 04:29:46,196568_NTUC MY FIRST SKOOL LIMITED,Misc,recurring,669.194512,3.526467,12.3767616, ntuc my first skool ,"['ntuc', 'first', 'skool']",ntuc first skool
99,2b70ecbcf514daae8787877935db994c,,2023-10-17 04:07:52,121762_MSS Hougang Pte Ltd,Misc,recurring,242.4389184,1.023813,4.360685, mss hougang  ,"['mss', 'hougang']",mss hougang
102,eac791df3957dc630420abe20f3da110,,2024-02-16 04:00:36,103034_Growth Contractor,Misc,recurring,326.1034,1.6229332,6.0367048, growth contractor,"['growth', 'contractor']",growth contractor
103,4f7b76b10fb7956334f665203d29697b,,2024-08-20 06:57:04,219785_CHUNG HWA FOOD INDUSTRIES PRIVATE LIMITED,Misc,recurring,258.2738928,-0.2957682,4.777794, chung hwa food industries  ,"['chung', 'hwa', 'food', 'industries']",chung hwa food industries
108,2090d176064c770f3a55e8199a014b95,,2023-12-22 04:08:42,76308_VINCAR LEASING AND RENTAL PTE LTD,Misc,recurring,1669.8162516,8.8199594,30.8888174, vincar leasing and rental  ,"['vincar', 'leasing', 'rental']",vincar leasing rental
132,94f953a8c4510eb170422906d02adb05,,2024-08-16 04:04:07,200143_OCBC Bank,Misc,recurring,5427.6725734,29.5237334,100.409512, ocbc bank,"['ocbc', 'bank']",ocbc bank
137,016ae93d62ce020e81ad29693f8811e4,,2023-11-28 04:26:09,59547_Bluegym Pte Ltd,Misc,recurring,45.5028,1.8276958,2.578492, bluegym  ,['bluegym'],bluegym
144,637e6d3257e2cbdfccbe1b7fb1756a0b,,2023-10-31 07:00:50,147301_RICKIES TATTOO,Misc,recurring,758.38,3.8601542,14.03003, rickies tattoo,"['rickies', 'tattoo']",rickies tattoo
150,36fd604a2ad75c9769e01a1f1789add8,,2023-12-15 04:02:09,94027_MERCEDES-BENZ FLEET MANAGEMENT SINGAPORE PTE. LTD. f.k.a DAIMLER FLEET MANAGEMENT SINGAPORE PTE. LTD. f.k.a AUTOFLEET PACIFIC PTE. LTD.,Misc,recurring,2460.981019,11.8534794,44.2969758, mercedesbenz fleet management    fka daimler fleet management    fka autofleet pacific  ,"['mercedesbenz', 'fleet', 'management', 'fka', 'daimler', 'fleet', 'management', 'fka', 'autofleet', 'pacific']",mercedesbenz fleet management fka daimler fleet management fka autofleet pacific
152,3b038b0adc3f49f08a85bab729c16391,,2023-10-24 04:04:15,61507_CL LEASING PTE. LTD.,Misc,recurring,1335.052152,3.6478078,34.7110526, cl leasing  ,"['cl', 'leasing']",cl leasing
161,86c62e7c9207cdbb7b606ed9eecd36a9,,2024-09-17 04:54:25,103034_Growth Contractor,Misc,recurring,326.1034,4.0649168,8.4786884, growth contractor,"['growth', 'contractor']",growth contractor
164,fad669f8347e45a5c2f307229fd74ec3,,2024-09-24 05:27:04,226524_Swift Ascent Company PTE LTD,Misc,recurring,492.947,2.5709082,9.1233114, swift ascent company  ,"['swift', 'ascent', 'company']",swift ascent company
179,f2828fb1e1a14367b989e427a77ef522,,2024-05-28 04:34:15,200315_ BUDDY SPORTS PTE. LTD.,Misc,recurring,182.0112,0.8493856,3.3672072,  buddy sports  ,"['buddy', 'sports']",buddy sports
185,6be53cd910a72004c0af78c9cc940d3c,,2024-06-04 08:25:15,17114_PROLINK CONCEPT NETWORK SDN BHD,Misc,recurring,76.2323576,1.08685561264,2.17806736, prolink concept network  ,"['prolink', 'concept', 'network']",prolink concept network
189,90949c383e709188a775164ea294d114,,2024-09-18 04:10:30,231673_Clear Water Services Pte Ltd,Misc,recurring,495.98052,2.578492,9.176398, clear water services  ,"['clear', 'water', 'services']",clear water services
191,ad41dbe50f076ab81ef027791547320b,,2024-09-12 04:03:24,199891_Ministry of Manpower,Misc,recurring,227.514,1.1148186,4.209009, ministry of manpower,"['ministry', 'manpower']",ministry manpower
199,7a9f0c4686bf6794a18710a4bf3a1766,,2024-07-15 04:06:06,211611_Dementia Singapore Ltd,Misc,recurring,435.31012,2.2523886,8.0539956, dementia  ,['dementia'],dementia
201,0dc4a3f43b6726c6ac901ccdacaa1deb,,2024-03-26 04:10:44,90643_NIRVANA MEMORIAL GARDEN Pte. Ltd.,Misc,recurring,232.82266,0.7735476,3.9587436, nirvana memorial garden  ,"['nirvana', 'memorial', 'garden']",nirvana memorial garden
210,b10715cc1276ecb0e2a2753066293321,,2024-05-28 04:17:00,59547_Bluegym Pte Ltd,Misc,recurring,45.5028,1.8276958,2.578492, bluegym  ,['bluegym'],bluegym
222,c2e7663520edde57512d707979dc751c,,2023-11-10 04:03:12,119169_Novel Haven Pte Ltd,Misc,recurring,303.352,1.4940086,5.612012, novel haven  ,['novel'],novel
224,3a7448f5c1765da00769470e45d0d431,,2024-08-27 04:12:00,169801_RS Transport Services,Misc,recurring,231.3059,1.023813,4.1635062, rs transport services,"['rs', 'transport', 'services']",rs transport services
225,be497610065934fa5cec439e9712a752,,2024-10-18 04:07:40,200684_THONG LEE TRADING PRIVATE LIMITED,Misc,recurring,740.93726,2.047626,19.262852, thong lee trading  ,"['thong', 'lee', 'trading']",thong lee trading
227,5db3510deed2a970aa143ddff212f6e4,,2024-09-11 04:02:18,150280_Ministry of Manpower,Misc,recurring,45.5028,0.1213408,0.8418018, ministry of manpower,"['ministry', 'manpower']",ministry manpower
228,153400e197ba466c5719760cfad48401,,2024-04-23 04:01:34,97263_StorHub 37 Tampines Pte Ltd,Misc,recurring,301.721483,3.564386,7.8416492, storhub  tampines  ,"['storhub', 'tampines']",storhub tampines
237,69d338613431afae4b4085d29602e7d7,,2024-04-29 04:05:11,160879_Cohabit Pte Ltd,Misc,recurring,439.8604,5.4830874,11.4363704, cohabit  ,['cohabit'],cohabit
241,2697b887aadd6395108da7afeef803ff,,2024-02-27 04:13:49,161708_Big One Transport Service,Misc,recurring,250.2654,-0.2806006,5.6347634, big one transport service,"['big', 'one', 'transport', 'service']",big one transport service
244,93ac9126f159acadcd87d04975c153cd,,2024-06-05 04:03:54,179522_Senoko Energy Supply Pte Ltd,Misc,recurring,122.85756,0.5460336,2.27514, senoko energy supply  ,"['senoko', 'energy', 'supply']",senoko energy supply
254,3ea24a44ca1a2a6a5bfa6c56aabfcfd8,,2024-07-25 04:17:38,93925_The Ideal Greenery,Misc,recurring,341.271,1.7366902,6.3173054, the ideal greenery,"['ideal', 'greenery']",ideal greenery
256,f25fb58739c8b4f35aa0c3c4f8a8e231,,2024-06-25 04:33:06,207700_Family of Grace EFC,Misc,recurring,720.461,3.450629,12.968298, family of grace efc,"['family', 'grace', 'efc']",family grace efc
261,384403c76b3bc97f27dc9d4fd49ce74f,,2024-10-15 04:05:42,94027_MERCEDES-BENZ FLEET MANAGEMENT SINGAPORE PTE. LTD. f.k.a DAIMLER FLEET MANAGEMENT SINGAPORE PTE. LTD. f.k.a AUTOFLEET PACIFIC PTE. LTD.,Misc,recurring,2483.7627542,6.8178362,39.739112, mercedesbenz fleet management    fka daimler fleet management    fka autofleet pacific  ,"['mercedesbenz', 'fleet', 'management', 'fka', 'daimler', 'fleet', 'management', 'fka', 'autofleet', 'pacific']",mercedesbenz fleet management fka daimler fleet management fka autofleet pacific
263,9291d936c276a2aa03950c308cdadabc,,2023-11-28 04:35:35,147656_CYCLE & CARRIAGE LEASING PTE. LTD.,Misc,recurring,1895.95,-1.0313968,42.658875, cycle  carriage leasing  ,"['cycle', 'carriage', 'leasing']",cycle carriage leasing
266,28c70781c08661bacfc7cb066c0e00a8,,2024-06-21 04:09:04,213517_Caperi Studio,Misc,recurring,144.0922,0.985894,3.1017742, caperi studio,"['caperi', 'studio']",caperi studio
270,1766d48c33ade876aac3880e6b13e4b8,,2024-01-10 04:09:03,134197_THE WORK PROJECT SINGAPORE PTE. LTD.,Misc,recurring,236.0912778,1.13757,4.3682688, the work project   ,"['work', 'project']",work project
279,8405c05b6621e0425889fd23c2ef64a3,,2024-05-03 10:01:00,136974_TRIPLE 3 NINE CONSULTING,Misc,recurring,7583.8,40.5581624,140.3003, triple  nine consulting,"['triple', 'nine', 'consulting']",triple nine consulting
287,3c151e8b64b40cb1858e91192e2a8cb3,,2023-12-01 04:02:15,124923_Staccato! Pte Ltd,Misc,recurring,155.4679,1.0541482,3.3444558, staccato  ,['staccato'],staccato
289,01b638ec65474a30a0bef0e35bbbd965,,2024-07-02 03:18:00,18106_TWIN VALLEY HOLDING BERHAD,Misc,recurring,95.399350368,0.18077959088,1.33515529168, twin valley holding ,"['twin', 'valley', 'holding']",twin valley holding
293,51b57a5354a2ccfb074b0e4aa0e0028f,,2023-12-15 04:05:51,52606_X-TREME AUTO PTE LTD,Misc,recurring,758.38,6.9315932,17.06355, xtreme auto  ,"['xtreme', 'auto']",xtreme auto
297,dc29581b6a65819c889ab0f34d3d9667,,2023-11-23 04:05:48,134484_Seletar Country Club,Misc,recurring,131.048064,0.5763688,2.426816, seletar country club,"['seletar', 'country', 'club']",seletar country club
306,010f9747a0906c87fdf08edd81374fbd,,2024-07-16 04:06:36,94027_MERCEDES-BENZ FLEET MANAGEMENT SINGAPORE PTE. LTD. f.k.a DAIMLER FLEET MANAGEMENT SINGAPORE PTE. LTD. f.k.a AUTOFLEET PACIFIC PTE. LTD.,Misc,recurring,2483.7627542,12.209918,44.706501, mercedesbenz fleet management    fka daimler fleet management    fka autofleet pacific  ,"['mercedesbenz', 'fleet', 'management', 'fka', 'daimler', 'fleet', 'management', 'fka', 'autofleet', 'pacific']",mercedesbenz fleet management fka daimler fleet management fka autofleet pacific
309,63e03eac763ef32706cac765954d5faf,,2023-10-24 04:14:59,145206_Surveillance Zone Singapore Pte. Ltd.,Misc,recurring,769.907376,3.9208246,14.2423764, surveillance zone   ,"['surveillance', 'zone']",surveillance zone
317,e14f54b7c2bce386a12a51acd3c660f1,,2024-09-02 15:06:04,211630_DKJ Transport Service,Misc,recurring,455.028,2.3585618,8.418018, dkj transport service,"['dkj', 'transport', 'service']",dkj transport service
320,2e6aa6cfc7910511d4218fa29cee8de4,,2024-08-27 04:13:15,175110_Throne landscape & construction pte Ltd ,Misc,recurring,265.433,3.2837854,6.901258, throne landscape  construction   ,"['throne', 'landscape', 'construction']",throne landscape construction
321,381887ed531d08425aa5a391f5611f8f,,2024-07-16 04:23:53,140159_EXXONMOBIL ASIA PACIFIC PTE LTD,Misc,recurring,106.1732,-0.1971788,1.9642042, exxonmobil asia pacific  ,"['exxonmobil', 'asia', 'pacific']",exxonmobil asia pacific
326,8b44073d5391870e7e66df967fa64d34,,2024-08-20 04:08:52,148835_Surge Plus Pte Ltd,Misc,recurring,477.7794,2.4874864,8.8427108, surge plus  ,"['surge', 'plus']",surge plus
333,594dfcbc129e873e1786e1eba1a018f7,,2023-12-18 04:07:25,153205_Allianz Care Counselling Pte Ltd,Misc,recurring,204.7626,0.9707264,3.7919, allianz care counselling  ,"['allianz', 'care', 'counselling']",allianz care counselling
334,6daf281ebe812cc981dc655c9df24eed,,2024-07-22 10:06:11,225274_MyRepublic Broadband Pte Ltd,Misc,recurring,28.0524762,0.0227514,0.5156984, myrepublic broadband  ,"['myrepublic', 'broadband']",myrepublic broadband
342,12b60393988a42888b59eb2dfacc254c,,2024-05-28 15:03:18,202558_Maplebear Learning Ladder Pte Ltd,Misc,recurring,1236.1594,5.8698612,22.8727408, maplebear learning ladder  ,"['maplebear', 'learning', 'ladder']",maplebear learning ladder
346,abcc08de3520cb840aa76c41f7b9a442,,2024-05-16 04:15:43,200143_OCBC Bank,Misc,recurring,5427.6725734,28.9852836,100.409512, ocbc bank,"['ocbc', 'bank']",ocbc bank
348,510b9bed0670b3fc2a98896085d3ae48,,2024-01-02 04:04:07,125112_KLEANWORKZ PTE. LTD.,Misc,recurring,317.00284,1.5698466,5.8622774, kleanworkz  ,['kleanworkz'],kleanworkz
351,ffcf0af65f2da5e3250c29ca1398f10e,,2024-07-08 10:01:59,220495_Season Bus Services Co Pte Ltd,Misc,recurring,1446.4505902,7.7658112,26.7556464, season bus services co  ,"['season', 'bus', 'services', 'co']",season bus services co
355,66a79793f1dfcca56e582e32607f1926,,2024-08-27 04:37:45,215097_Extra Space Toa Payoh Pte Ltd   ,Misc,recurring,95.8895672,0.3488548,1.7291064, extra space toa payoh     ,"['extra', 'space', 'toa', 'payoh']",extra space toa payoh
356,e2fee326827e427e31e937888f12089e,,2024-05-30 04:04:36,200616_EXPATS FURNITURE RENTAL PTE. LTD,Misc,recurring,379.19,0.1365084,5.498255, expats furniture rental  ,"['expats', 'furniture', 'rental']",expats furniture rental
364,cb6bbbd90939bf04073533ef645e6b1b,,2024-09-25 04:12:30,93928_ SAQUARIES INTERNATIONAL PTE LTD,Misc,recurring,318.5196,1.6153494,5.8926126,  saquaries international  ,"['saquaries', 'international']",saquaries international
367,424633e56f694bcf8c1abb38381fc631,,2024-07-30 04:05:52,148835_Surge Plus Pte Ltd,Misc,recurring,477.7794,2.4874864,8.8427108, surge plus  ,"['surge', 'plus']",surge plus
368,6e31d80251f2a6bd6ec66028e056da0f,,2024-09-09 10:12:14,238274_ CIRCULAR LAW CHAMBERS LLP,Misc,recurring,2528.43892,8.6531158,42.9849784,  circular law chambers ,"['circular', 'law', 'chambers']",circular law chambers
377,4c92b694a5d3fcaf8ab4ea083cea5b2d,,2024-05-17 06:33:03,74094_Mercedes-Benz Fleet Management Singapore Pte Ltd,Misc,recurring,2688.495019,34.1877704,69.8998846, mercedesbenz fleet management   ,"['mercedesbenz', 'fleet', 'management']",mercedesbenz fleet management
382,f1f0cbe40e7bab692fcc1c9eac6b4e52,,2024-09-13 04:02:50,144821_MARINE PARADE TOWN COUNCIL,Misc,recurring,82.815096,1.3575002,2.578492, marine parade town council,"['marine', 'parade', 'town', 'council']",marine parade town council
387,44d36d1b3f959d548d0196c004af4e30,,2024-03-13 04:02:34,90275_Ronnie Kitchen,Misc,recurring,245.5103574,0.8190504,4.17109, ronnie kitchen,"['ronnie', 'kitchen']",ronnie kitchen
388,f615dc2fef98dad83ef977d696dc50b4,,2023-11-15 04:02:13,94027_MERCEDES-BENZ FLEET MANAGEMENT SINGAPORE PTE. LTD. f.k.a DAIMLER FLEET MANAGEMENT SINGAPORE PTE. LTD. f.k.a AUTOFLEET PACIFIC PTE. LTD.,Misc,recurring,2460.981019,11.8610632,44.2969758, mercedesbenz fleet management    fka daimler fleet management    fka autofleet pacific  ,"['mercedesbenz', 'fleet', 'management', 'fka', 'daimler', 'fleet', 'management', 'fka', 'autofleet', 'pacific']",mercedesbenz fleet management fka daimler fleet management fka autofleet pacific
393,b1a729ff55505ee2d8e2dec682835bf3,,2024-02-27 04:13:01,131104_The Working Capitol (Keong Saik) Pte Ltd,Misc,recurring,163.6735716,0.6673744,2.9425144, the working capitol keong saik  ,"['working', 'capitol', 'keong', 'saik']",working capitol keong saik
395,3e259e55c499772d58666f148556b4e5,,2024-03-25 10:01:51,181027_BRILLIANT TOTS JUNIOR PTE. LTD,Misc,recurring,1061.732,5.5589254,19.642042, brilliant tots junior  ,"['brilliant', 'tots', 'junior']",brilliant tots junior
400,f65b5188c723912b082c65323fe4c2cb,,2024-04-29 04:16:48,192881_Best Home Employment Agency Pte Ltd,Misc,recurring,99.196104,0.4019414,1.8352796, best home employment agency  ,"['best', 'home', 'employment', 'agency']",best home employment agency
408,79109e1d270fd9ae2ca80836ecadf582,,2024-09-30 04:08:34,210411_FLYWIRE (SINGAPORE) PTE. LTD.,Misc,recurring,1403.003,7.5382972,25.9593474, flywire   ,['flywire'],flywire
409,c5c86c2ff529458d6baa784000aac564,,2024-08-29 04:03:31,185696_SF Holdings One Ptd Ltd,Misc,recurring,148.301209,0.606704,2.6694976, sf holdings one ptd ,"['sf', 'holdings', 'one', 'ptd']",sf holdings one ptd
411,103c8abab10ce2addddcb0bf47d0d9e3,,2024-07-22 15:06:12,136974_TRIPLE 3 NINE CONSULTING,Misc,recurring,2230.39558,12.058242,41.2634558, triple  nine consulting,"['triple', 'nine', 'consulting']",triple nine consulting
419,b243f8cb84e4a3f1cb4bde93eb2155ea,,2024-04-25 04:22:24,93925_The Ideal Greenery,Misc,recurring,341.271,1.706355,6.3173054, the ideal greenery,"['ideal', 'greenery']",ideal greenery
424,6ca82d5aaf86fd960b4a985234570867,,2023-12-26 04:36:11,136661_Tong Tar Transport Service Pte Ltd,Misc,recurring,199.1278366,0.9403912,3.6857268, tong tar transport service  ,"['tong', 'tar', 'transport', 'service']",tong tar transport service
428,c7767b4d9067b86e3c62f1548210f2b8,,2024-07-11 10:42:05,185375_Dalvey Breeze Development Pte Ltd-Maintenance Fund,Misc,recurring,8636.43144,42.6664588,159.7754984, dalvey breeze development  maintenance fund,"['dalvey', 'breeze', 'development', 'maintenance', 'fund']",dalvey breeze development maintenance fund
432,a0f907d019e311f9b87b0a7d3228476d,,2023-11-14 04:08:29,144821_MARINE PARADE TOWN COUNCIL,Misc,recurring,82.815096,0.3109358,1.5319276, marine parade town council,"['marine', 'parade', 'town', 'council']",marine parade town council
433,14dfd4b336643cc0d24d2db6c627bdb5,,2024-05-28 15:05:33,76308_VINCAR LEASING AND RENTAL PTE LTD,Misc,recurring,3264.8259,17.3744858,60.3973832, vincar leasing and rental  ,"['vincar', 'leasing', 'rental']",vincar leasing rental
437,5d3bb775a909015e1547edad890b290d,,2023-11-03 04:02:50,117000_Chong Aik International Pte Ltd,Misc,recurring,315.48608,1.5622628,5.839526, chong aik international  ,"['chong', 'aik', 'international']",chong aik international
441,4eeb88175efccdfc48fa34234cdbdf9e,,2024-04-17 07:01:07,189550_ANG MO KIO TOWN COUNCIL,Misc,recurring,80.76747,0.303352,1.4940086, ang mo kio town council,"['ang', 'mo', 'kio', 'town', 'council']",ang mo kio town council
442,1bfe23a8c4a425c4c984b1875fd1ee91,,2024-07-17 02:27:06,90275_Ronnie Kitchen,Misc,recurring,245.5103574,1.3954192,4.9067186, ronnie kitchen,"['ronnie', 'kitchen']",ronnie kitchen
447,99653576ae141d10c8a86f754a8c837e,,2024-06-28 04:19:16,210499_STORHUB TOH GUAN PTE. LTD.,Misc,recurring,98.5894,0.1440922,2.578492, storhub toh guan  ,"['storhub', 'toh', 'guan']",storhub toh guan
450,27f6f87e892d4f11f89f4d6c4ff02b58,,2024-08-29 04:05:52,200616_EXPATS FURNITURE RENTAL PTE. LTD,Misc,recurring,379.19,0.1744274,5.498255, expats furniture rental  ,"['expats', 'furniture', 'rental']",expats furniture rental
452,fd9c28311e8bd973fb6870d1b4a6b182,,2024-09-30 04:06:14,200616_EXPATS FURNITURE RENTAL PTE. LTD,Misc,recurring,379.19,0.1744274,5.498255, expats furniture rental  ,"['expats', 'furniture', 'rental']",expats furniture rental
457,9b6bb1d42200ddde1a90e8bb8804e949,,2024-01-29 04:01:26,78590_Kinto Singapore Pte Ltd,Misc,recurring,2056.6658896,26.126191,53.4733738, kinto   ,['kinto'],kinto
461,f20c8c1079e47b0e4d884d5e4dd79a71,,2024-01-02 04:04:44,90645_MOUNT PRAJNA LTD.,Misc,recurring,182.0112,0.8493856,3.3672072, mount prajna ,"['mount', 'prajna']",mount prajna
462,3ed7322dadffbb5d5eb8992f798846cf,,2024-02-22 04:51:06,164703_23 COMM SERVICES,Misc,recurring,417.109,-0.4398604,7.7203084,  comm services,"['comm', 'services']",comm services
463,12a3bf118f6d619440173b7199bfb0e7,,2024-06-25 04:28:03,200315_ BUDDY SPORTS PTE. LTD.,Misc,recurring,182.0112,0.8645532,3.3672072,  buddy sports  ,"['buddy', 'sports']",buddy sports
467,16514f6ef82fe095041aeae74b37b0a5,,2024-08-01 04:05:40,196568_NTUC MY FIRST SKOOL LIMITED,Misc,recurring,669.194512,3.526467,12.3767616, ntuc my first skool ,"['ntuc', 'first', 'skool']",ntuc first skool
472,35ace45f252da29b258b9fbe79fbd475,,2023-12-07 04:11:16,148835_Surge Plus Pte Ltd,Misc,recurring,477.7794,2.4343998,8.8427108, surge plus  ,"['surge', 'plus']",surge plus
476,788c9b0ac3678b62ec7fbc6bf9017921,,2024-03-20 04:13:50,136661_Tong Tar Transport Service Pte Ltd,Misc,recurring,45.5028,0.113757,0.8418018, tong tar transport service  ,"['tong', 'tar', 'transport', 'service']",tong tar transport service
477,6e1fcad6aa31c3dbb3c33fa5349f5408,,2024-07-30 07:00:31,198130_Leads Global Pte Ltd,Misc,recurring,2121.18886,11.4591218,39.2385812, leads global  ,"['leads', 'global']",leads global
478,e6813b76c784f13b22dd7425c508e3f0,,2024-01-03 04:03:23,117000_Chong Aik International Pte Ltd,Misc,recurring,315.48608,1.5622628,5.839526, chong aik international  ,"['chong', 'aik', 'international']",chong aik international
495,2ec5f324b320a22d83b15f83a175cd1a,,2024-09-09 04:16:38,215097_Extra Space Toa Payoh Pte Ltd   ,Misc,recurring,85.8031132,0.303352,1.5470952, extra space toa payoh     ,"['extra', 'space', 'toa', 'payoh']",extra space toa payoh
502,5d07f591f9d2d0bd3f561dd56ec185f8,,2024-02-06 04:18:18,168191_P & C Maintenance Services Pte. Ltd,Misc,recurring,63.70392,0.7507962,2.578492, p  c maintenance services  ,"['p', 'c', 'maintenance', 'services']",p c maintenance services
507,1b7ea4284127c59bb3a437ae7816fad9,,2023-12-05 04:12:11,89046_KMAC INTERNATIONAL PTE. LTD.,Misc,recurring,220.081876,1.0541482,4.0725006, kmac international  ,"['kmac', 'international']",kmac international
508,b5981198fabc0b5cc7655f8f2dffba90,,2024-07-22 04:01:37,142076_CREV Consultancy Pte Ltd,Misc,recurring,2123.464,27.1955068,55.210064, crev consultancy  ,"['crev', 'consultancy']",crev consultancy
517,3155a49dfbfe5178cdb8427b2376e6ad,,2024-07-24 04:07:59,214395_ROHEI CORPORATION PTE. LTD.,Misc,recurring,606.704,3.185196,11.224024, rohei corporation  ,"['rohei', 'corporation']",rohei corporation
519,4aca1a6bb40f01f34b162eb9049b16ce,,2023-12-19 04:21:32,130036_Delgrow Automotive,Misc,recurring,379.19,0.9555588,9.85894, delgrow automotive,"['delgrow', 'automotive']",delgrow automotive
540,6d5c5314308d4cec7a7437a1a899e656,,2024-07-05 04:03:10,179522_Senoko Energy Supply Pte Ltd,Misc,recurring,163.81008,0.7659638,3.03352, senoko energy supply  ,"['senoko', 'energy', 'supply']",senoko energy supply
550,31d043e353075d6e59fb9e5d49d1cbb8,,2024-03-01 04:01:16,137852_SIPM CONSULTANTS PTE. LTD.,Misc,recurring,5071.7648394,14.5457284,81.14666, sipm consultants  ,"['sipm', 'consultants']",sipm consultants
